,index,name,element,team_name,total_points,value,ict_index,minutes,position,away1,away_odds1,draw_odds1,home1,home_odds1,is_home1,away2,away_odds2,draw_odds2,home2,home_odds2,is_home2,win_odds1,win_odds2,agg_win_odds,games_played,scaled_points,next_gw,points_weighted,next_opp,surname,initial_team,picked,captain
439,439,João Pedro Junqueira de Jesus,135,Brighton,83,53,5.176923076923076,1385,FWD,Nottingham,0.2227949553790633,0.2431798066803998,Brighton,0.5340252379405369,True,0,0.0,0.0,0,0.0,0,0.5340252379405369,0.0,0.5340252379405369,15.38888888888889,0.47701149425287354,28,0.49981699172793886,Nottingham,Jesus,0.0,0.0,0
440,440,João Victor Gomes da Silva,559,Wolves,56,49,2.338461538461538,1632,MID,Fulham,0.3310473138508762,0.2809023274614391,Wolves,0.38805035868768467,True,0,0.0,0.0,0,0.0,0,0.38805035868768467,0.0,0.38805035868768467,18.133333333333333,0.3218390804597701,28,0.34832359175093597,Fulham,Silva,0.0,0.0,0
441,441,Joël Veltman,151,Brighton,22,43,1.2730769230769232,1005,DEF,Nottingham,0.2227949553790633,0.2431798066803998,Brighton,0.5340252379405369,True,0,0.0,0.0,0,0.0,0,0.5340252379405369,0.0,0.5340252379405369,11.166666666666666,0.12643678160919541,28,0.37098985540800034,Nottingham,Veltman,0.0,0.0,0
442,442,Joško Gvardiol,616,Manchester City,44,48,2.45,1472,DEF,Manchester City,0.4213459142169942,0.2577282115129626,Liverpool,0.3209258742700432,False,0,0.0,0.0,0,0.0,0,0.4213459142169942,0.0,0.4213459142169942,16.355555555555554,0.25287356321839083,28,0.3539569738175528,Liverpool,Gvardiol,0.0,0.0,0
443,443,Julio Enciso,130,Brighton,9,50,0.4346153846153846,113,MID,Nottingham,0.2227949553790633,0.2431798066803998,Brighton,0.5340252379405369,True,0,0.0,0.0,0,0.0,0,0.5340252379405369,0.0,0.5340252379405369,1.2555555555555555,0.05172413793103448,28,0.24464457793483546,Nottingham,Enciso,0.0,0.0,0
444,444,Julián Álvarez,343,Manchester City,127,66,8.438461538461539,2113,FWD,Manchester City,0.4213459142169942,0.2577282115129626,Liverpool,0.3209258742700432,False,0,0.0,0.0,0,0.0,0,0.4213459142169942,0.0,0.4213459142169942,23.477777777777778,0.7298850574712644,28,0.6064694001695563,Liverpool,Álvarez,0.0,1.0,0
445,445,Jurriën Timber,585,Arsenal,0,46,0.0,49,DEF,Brentford,0.07133864482157093,0.13979006080584494,Arsenal,0.7888712943725841,True,0,0.0,0.0,0,0.0,0,0.7888712943725841,0.0,0.7888712943725841,0.5444444444444444,0.0,28,0.47332277662355043,Brentford,Timber,0.0,0.0,0
446,446,Justin Hubner,751,Wolves,0,40,0.0,0,DEF,Fulham,0.3310473138508762,0.2809023274614391,Wolves,0.38805035868768467,True,0,0.0,0.0,0,0.0,0,0.38805035868768467,0.0,0.38805035868768467,0.0,0.0,28,0.2328302152126108,Fulham,Hubner,0.0,0.0,0
447,447,Justin Kluivert,72,Bournemouth,56,46,2.8760000000000003,1091,MID,Sheffield Utd,0.11636581442060583,0.1820062325581752,Bournemouth,0.7016279530212189,True,Luton,0.17319192209357245,0.21240029700912075,Bournemouth,0.6144077808973069,True,0.7016279530212189,0.6144077808973069,0.8849500602872389,12.122222222222222,0.3218390804597701,28,0.5470834723907576,Sheffield Utd,Kluivert,0.0,0.0,0
448,448,Jérémy Doku,678,Manchester City,60,65,5.6625000000000005,1146,MID,Manchester City,0.4213459142169942,0.2577282115129626,Liverpool,0.3209258742700432,False,0,0.0,0.0,0,0.0,0,0.4213459142169942,0.0,0.4213459142169942,12.733333333333333,0.3448275862068966,28,0.3754349174109356,Liverpool,Doku,0.0,0.0,0
449,449,Jóhann Berg Gudmundsson,170,Burnley,31,48,2.723076923076923,957,MID,Burnley,0.18922937545744947,0.23949318090901806,West Ham,0.5712774436335324,False,0,0.0,0.0,0,0.0,0,0.18922937545744947,0.0,0.18922937545744947,10.633333333333333,0.1781609195402299,28,0.18258830190711772,West Ham,Gudmundsson,0.0,0.0,0
450,450,Kacper Kozłowski,137,Brighton,0,45,0.0,0,MID,Nottingham,0.2227949553790633,0.2431798066803998,Brighton,0.5340252379405369,True,0,0.0,0.0,0,0.0,0,0.5340252379405369,0.0,0.5340252379405369,0.0,0.0,28,0.21361009517621476,Nottingham,Kozłowski,0.0,0.0,0
451,451,Kaden Rodney,825,Crystal Palace,0,45,0.0,0,MID,Luton,0.217485857333184,0.2528403845308845,Crystal Palace,0.5296737581359314,True,0,0.0,0.0,0,0.0,0,0.5296737581359314,0.0,0.5296737581359314,0.0,0.0,28,0.2118695032543726,Luton,Rodney,0.0,0.0,0
452,452,Kaelan Casey,774,West Ham,0,40,0.0,0,DEF,Burnley,0.18922937545744947,0.23949318090901806,West Ham,0.5712774436335324,True,0,0.0,0.0,0,0.0,0,0.5712774436335324,0.0,0.5712774436335324,0.0,0.0,28,0.3427664661801194,Burnley,Casey,0.0,0.0,0
453,453,Kai Havertz,6,Arsenal,89,71,4.476923076923077,1608,MID,Brentford,0.07133864482157093,0.13979006080584494,Arsenal,0.7888712943725841,True,0,0.0,0.0,0,0.0,0,0.7888712943725841,0.0,0.7888712943725841,17.866666666666667,0.5114942528735632,28,0.6224450694731716,Brentford,Havertz,0.0,0.0,0
